timestamp,user_id,day,quiz_id,image_index,illusion_filename,user_answer,response_time,speed_group,display_time,correct_answer,line_length1,line_length2,actual_difference,arrow_length,angle,arrow_color,is_control,is_correct
2024-11-05 03:40:37,HRB,1,0,15,muller_lyer_day1_illusion18.svg,Same length,3.127,Group 1 - Fast,0.5,Right,185,220,-35,20,36,black,False,False
2024-11-05 03:40:41,HRB,1,0,16,muller_lyer_day1_illusion28.svg,Right,2.592,Group 1 - Fast,0.5,Same length,180,180,0,20,36,red,False,False
2024-11-05 03:40:45,HRB,1,0,17,muller_lyer_day1_illusion27.svg,Left,2.541,Group 1 - Fast,0.5,Same length,200,200,0,20,36,red,False,False
2024-11-05 03:40:48,HRB,1,0,18,muller_lyer_day1_illusion34.svg,Left,2.33,Group 1 - Fast,0.5,Same length,185,185,0,20,36,red,False,False
2024-11-05 03:40:52,HRB,1,0,19,muller_lyer_day1_illusion9.svg,Left,2.549,Group 1 - Fast,0.5,Same length,200,200,0,20,36,black,False,False
2024-11-05 03:40:56,HRB,1,0,20,muller_lyer_day1_illusion16.svg,Left,3.068,Group 1 - Fast,0.5,Left,205,195,10,20,36,black,False,True
2024-11-05 03:41:00,HRB,1,0,21,muller_lyer_day1_illusion42.svg,Left,2.667,Group 1 - Fast,0.5,Right,185,220,-35,20,36,red,False,False
2024-11-05 03:41:04,HRB,1,0,22,muller_lyer_day1_illusion35.svg,Same length,2.446,Group 1 - Fast,0.5,Same length,205,205,0,20,36,red,False,True
2024-11-05 03:41:07,HRB,1,0,23,muller_lyer_day1_illusion38.svg,Left,2.275,Group 1 - Fast,0.5,Left,220,215,5,20,36,red,False,True
2024-11-05 03:41:12,HRB,1,0,24,muller_lyer_day1_illusion30.svg,Same length,3.49,Group 1 - Fast,0.5,Same length,195,195,0,20,36,red,False,True
2024-11-05 03:41:15,HRB,1,0,25,muller_lyer_day1_illusion26.svg,Left,2.514,Group 1 - Fast,0.5,Same length,195,195,0,20,36,red,False,False
2024-11-05 03:41:19,HRB,1,0,26,muller_lyer_day1_illusion20.svg,Left,2.328,Group 1 - Fast,0.5,Left,220,180,40,20,36,black,False,True
2024-11-05 03:41:23,HRB,1,0,27,muller_lyer_day1_illusion3.svg,Left,2.872,Group 1 - Fast,0.5,Same length,200,200,0,20,36,black,False,False
2024-11-05 03:41:27,HRB,1,0,28,muller_lyer_day1_illusion15.svg,Same length,2.431,Group 1 - Fast,0.5,Left,205,195,10,20,36,black,False,False
